,Symbol,Company,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%),Earnings Date
19,A,Agilent Technologies Inc,TAS,0.81,0.81,,2020-02-18
1,AA,Alcoa Corp,TAS,-0.22,-0.31,-40.91,2020-01-15
16,AACG,ATA Creativity Global,After Market Close,,,,2020-03-30
1,AAL,American Airlines Group Inc,TAS,1.14,1.15,0.88,2020-01-23
2,AAMC,Altisource Asset Management Corp,TAS,,,,2020-02-28
4,AAME,Atlantic American Corp,Time Not Supplied,,,,2020-03-24
16,AAN,Aaron's Inc,TAS,1.07,1.15,7.48,2020-02-20
15,AAOI,Applied Optoelectronics Inc,After Market Close,-0.23,-0.18,21.74,2020-02-27
5,AAON,Aaon Inc,TAS,0.29,0.33,13.79,2020-02-27
7,AAON,Aaon Inc,Before Market Open,0.29,0.33,13.79,2020-02-27
5,AAP,Advance Auto Parts Inc,TAS,1.35,1.64,21.48,2020-02-18
8,AAPL,Apple Inc,TAS,4.55,4.99,9.67,2020-01-28
11,AAT,American Assets Trust Inc,TAS,0.24,0.22,-8.33,2020-02-11
25,AAWW,Atlas Air Worldwide Holdings Inc,TAS,2.99,3.8,27.09,2020-02-20
32,AAXN,Axon Enterprise Inc,Before Market Open,0.38,0.41,7.89,2020-02-27
12,AB,AllianceBernstein Holding LP,TAS,0.7,0.85,21.43,2020-02-12
0,ABBV,AbbVie Inc,TAS,2.19,2.21,0.91,2020-02-07
19,ABC,AmerisourceBergen Corp,TAS,1.67,1.76,5.39,2020-01-30
10,ABCB,Ameris Bancorp,TAS,0.96,0.96,,2020-01-23
0,ABCP,AmBase Corp,Time Not Supplied,,,,2020-03-25
1,ABEO,Abeona Therapeutics Inc,Before Market Open,-0.31,-0.3,3.23,2020-03-17
2,ABG,Asbury Automotive Group Inc,TAS,2.34,2.53,8.12,2020-02-03
6,ABIO,ARCA Biopharma Inc,TAS,-0.99,-0.77,22.22,2020-02-18
7,ABM,ABM Industries Inc,TAS,0.29,0.39,34.48,2020-03-04
14,ABMD,Abiomed Inc,TAS,1.09,1.51,38.53,2020-02-06
0,ABQQ,Ab International Group Corp,Time Not Supplied,,,,2020-01-20
5,ABR,Arbor Realty Trust Inc,TAS,0.36,0.34,-5.56,2020-02-14
4,ABT,Abbott Laboratories,TAS,0.95,0.95,,2020-01-22
1,ABTO,AB&T Financial Corp,Time Not Supplied,,,,2020-01-30
14,ABTX,Allegiance Bancshares Inc,TAS,0.61,0.67,9.84,2020-01-29
15,ABTX,Allegiance Bancshares Inc,Before Market Open,0.61,0.67,9.84,2020-01-29
4,ABUS,Arbutus Biopharma Corp,TAS,,,,2020-03-05
23,AC,Associated Capital Group Inc,After Market Close,,,,2020-02-27
13,ACA,Arcosa Inc,Time Not Supplied,0.42,0.43,2.38,2020-02-26
25,ACAD,ACADIA Pharmaceuticals Inc,TAS,-0.36,-0.34,5.56,2020-02-26
12,ACAN,Americann Inc,Before Market Open,,,,2020-02-24
13,ACBI,Atlantic Capital Bancshares Inc,TAS,0.3,0.32,6.67,2020-01-30
7,ACC,American Campus Communities Inc,TAS,0.3,0.18,-40.0,2020-02-18
12,ACCO,ACCO Brands Corp,TAS,0.41,0.46,12.2,2020-02-11
0,ACCR,Access-Power Inc,Time Not Supplied,,,,2020-01-02
7,ACEL,Accel Entertainment Inc,TAS,,,,2020-03-16
3,ACER,Acer Therapeutics Inc,After Market Close,-0.48,-0.51,-6.25,2020-03-18
3,ACFN,Acorn Energy Inc,After Market Close,,,,2020-03-25
10,ACGLP,Arch Capital Group Ltd,TAS,,,,2020-02-11
36,ACHC,Acadia Healthcare Company Inc,TAS,0.49,0.51,4.08,2020-02-27
13,ACHN,Achillion Pharmaceuticals Inc,Before Market Open,-0.16,,,2020-03-05
13,ACHV,Achieve Life Sciences Inc,Time Not Supplied,-0.32,-0.3,6.25,2020-03-12
14,ACIA,Acacia Communications Inc,TAS,0.56,0.48,-14.29,2020-02-18
14,ACIU,AC Immune SA,TAS,-0.22,-0.28,-27.27,2020-03-30
0,ACIW,ACI Worldwide Inc,After Market Close,0.56,0.47,-16.07,2020-01-13
6,ACIW,ACI Worldwide Inc,TAS,0.56,0.47,-16.07,2020-02-27
1,ACLS,Axcelis Technologies Inc,TAS,0.16,0.29,81.25,2020-02-05
3,ACM,AECOM,TAS,0.67,0.46,-31.34,2020-02-03
2,ACMR,ACM Research Inc,Before Market Open,0.09,0.23,155.56,2020-03-18
1,ACN,Accenture PLC,TAS,1.72,1.91,11.05,2020-03-19
9,ACNB,ACNB Corp,TAS,,,,2020-01-28
8,ACOR,Acorda Therapeutics Inc,TAS,-0.4,-0.15,62.5,2020-02-13
21,ACRE,Ares Commercial Real Estate Corp,TAS,0.36,0.37,2.78,2020-02-20
22,ACRS,Aclaris Therapeutics Inc,After Market Close,-0.39,-0.45,-15.38,2020-02-25
1,ACRX,AcelRx Pharmaceuticals Inc,After Market Close,-0.2,-0.18,10.0,2020-03-16
18,ACTG,Acacia Research Corp,TAS,,,,2020-03-12
8,ACU,Acme United Corp,Time Not Supplied,0.17,0.28,64.71,2020-02-27
3,ACUR,Acura Pharmaceuticals Inc,After Market Close,,,,2020-02-28
5,ACUR,Acura Pharmaceuticals Inc,Before Market Open,,,,2020-03-30
1,ACV,Allianzgi Diversified Income & Convertible Fund,After Market Close,,,,2020-03-31
9,ACY,AeroCentury Corp,Time Not Supplied,,,,2020-03-30
17,ADAP,Adaptimmune Therapeutics PLC,Before Market Open,-0.34,-0.3,11.76,2020-02-27
2,ADBE,Adobe Inc,TAS,2.23,2.27,1.79,2020-03-12
6,ADC,Agree Realty Corp,TAS,0.47,0.52,10.64,2020-02-20
15,ADES,Advanced Emissions Solutions Inc,After Market Close,0.9,0.49,-45.56,2020-03-16
0,ADES,Advanced Emissions Solutions Inc,TAS,0.9,0.49,-45.56,2020-03-17
6,ADI,Analog Devices Inc,TAS,1.0,1.03,3.0,2020-02-19
3,ADM,Archer Daniels Midland Co,TAS,0.69,0.81,17.39,2020-01-29
24,ADMA,ADMA Biologics Inc,After Market Close,-0.17,-0.18,-5.88,2020-03-12
15,ADMP,Adamis Pharmaceuticals Corp,TAS,-0.04,-0.08,-100.0,2020-03-30
0,ADMS,Adamas Pharmaceuticals Inc,After Market Close,-0.85,-0.83,2.35,2020-01-08
5,ADMS,Adamas Pharmaceuticals Inc,After Market Close,-0.85,-0.83,2.35,2020-02-25
4,ADNT,Adient PLC,TAS,0.34,0.96,182.35,2020-01-31
2,ADOM,Adomani Inc,Time Not Supplied,-0.01,-0.02,-100.0,2020-02-11
3,ADOM,Adomani Inc,After Market Close,-0.01,-0.02,-100.0,2020-03-10
19,ADP,Automatic Data Processing Inc,TAS,1.44,1.52,5.56,2020-01-29
26,ADPT,Adaptive Biotechnologies Corp,TAS,-0.2,-0.17,15.0,2020-02-26
2,ADRO,Aduro Biotech Inc,After Market Close,-0.21,-0.24,-14.29,2020-03-09
14,ADS,Alliance Data Systems Corp,TAS,4.34,4.12,-5.07,2020-01-30
33,ADSK,Autodesk Inc,TAS,0.89,0.92,3.37,2020-02-27
28,ADSW,Advanced Disposal Services Inc,TAS,0.14,0.08,-42.86,2020-02-20
5,ADT,ADT Inc,After Market Close,0.23,0.31,34.78,2020-03-05
12,ADTN,ADTRAN Inc,TAS,-0.13,-0.07,46.15,2020-02-05
9,ADUS,Addus Homecare Corp,After Market Close,0.66,,,2020-02-27
1,ADUS,Addus Homecare Corp,TAS,,,,2020-03-18
11,ADVM,Adverum Biotechnologies Inc,TAS,-0.29,-0.29,,2020-03-12
4,ADX,Adams Diversified Equity Fund Inc,After Market Close,,,,2020-02-24
1,ADXS,Advaxis Inc,TAS,-0.19,-0.15,21.05,2020-03-13
0,AE,Adams Resources & Energy Inc,After Market Close,,,,2020-03-05
7,AEE,Ameren Corp,TAS,0.31,0.38,22.58,2020-02-26
0,AEGG,American Energy Group Ltd,Time Not Supplied,,,,2020-02-17
10,AEGN,Aegion Corp,TAS,0.4,0.39,-2.5,2020-02-26
2,AEHR,AEHR Test Systems,TAS,0.01,0.02,100.0,2020-01-09
11,AEIS,Advanced Energy Industries Inc,TAS,0.69,0.87,26.09,2020-02-18
9,AEL,American Equity Investment Life Holding Co,TAS,1.04,1.37,31.73,2020-02-12
0,AEMD,Aethlon Medical Inc,TAS,-1.03,-0.28,72.82,2020-02-10
4,AEO,American Eagle Outfitters Inc,TAS,0.36,0.37,2.78,2020-03-04
9,AEP,American Electric Power Company Inc,TAS,0.58,0.6,3.45,2020-02-20
15,AER,AerCap Holdings NV,TAS,1.95,2.34,20.0,2020-02-13
5,AERG,Applied Energetics Inc,Time Not Supplied,,,,2020-02-10
7,AERI,Aerie Pharmaceuticals Inc,After Market Close,-0.77,-0.96,-24.68,2020-02-20
4,AERO,AeroGrow International Inc,Time Not Supplied,,,,2020-02-10
6,AERO,AeroGrow International Inc,After Market Close,,,,2020-02-11
0,AES,AES Corp,TAS,0.33,0.35,6.06,2020-02-28
10,AESE,Allied Esports Entertainment Inc,Time Not Supplied,-0.09,-0.24,-166.67,2020-03-16
12,AEY,ADDvantage Technologies Group Inc,Before Market Open,,,,2020-02-13
2,AEYE,AudioEye Inc,TAS,-0.3,-0.16,46.67,2020-03-23
2,AFB,Alliancebernstein National Municipal Income Fund Inc,After Market Close,,,,2020-03-27
6,AFG,American Financial Group Inc,TAS,2.21,2.22,0.45,2020-02-03
6,AFI,Armstrong Flooring Inc,TAS,-0.61,-1.05,-72.13,2020-03-03
4,AFINP,American Finance Trust Inc,TAS,,,,2020-02-26
2,AFL,Aflac Inc,TAS,1.02,1.03,0.98,2020-02-04
1,AFOM,All for One Media Corp,Time Not Supplied,,,,2020-02-17
7,AFYA,Afya Ltd,Before Market Open,1.02,1.11,8.82,2020-03-26
21,AGCO,AGCO Corp,TAS,1.55,0.94,-39.35,2020-02-06
6,AGE,AgeX Therapeutics Inc,After Market Close,,,,2020-03-30
23,AGEN,Agenus Inc,Before Market Open,-0.38,-0.22,42.11,2020-03-12
27,AGFS,AgroFresh Solutions Inc,TAS,0.14,-0.6,-528.57,2020-03-12
28,AGFS,AgroFresh Solutions Inc,Before Market Open,0.14,-0.6,-528.57,2020-03-12
3,AGHC,Aeon Global Health Corp,Time Not Supplied,,,,2020-02-12
4,AGIO,Agios Pharmaceuticals Inc,TAS,-1.72,-1.6,6.98,2020-02-13
11,AGLE,Aeglea Bio Therapeutics Inc,Before Market Open,-0.68,-0.65,4.41,2020-02-24
13,AGM,Federal Agricultural Mortgage Corp,TAS,2.06,2.27,10.19,2020-02-25
2,AGN,Allergan plc,TAS,4.57,5.22,14.22,2020-02-10
5,AGNCN,AGNC Investment Corp,Time Not Supplied,,,,2020-01-28
17,AGNCO,AGNC Investment Corp,TAS,,,,2020-01-29
4,AGNCP,AGNC Investment Corp,TAS,,,,2020-01-29
18,AGO,Assured Guaranty Ltd,TAS,0.78,0.9,15.38,2020-02-27
16,AGR,Avangrid Inc,TAS,0.76,0.74,-2.63,2020-02-25
21,AGRO,Adecoagro SA,TAS,0.25,,,2020-03-12
0,AGRX,Agile Therapeutics Inc,TAS,-0.07,-0.1,-42.86,2020-02-20
79,AGS,PlayAGS Inc,TAS,0.02,0.04,100.0,2020-03-04
80,AGS,PlayAGS Inc,After Market Close,0.02,0.04,100.0,2020-03-04
6,AGYS,Agilysys Inc,After Market Close,-0.07,0.05,171.43,2020-01-28
10,AHC,A. H. Belo Corp,Before Market Open,,,,2020-01-28
10,AHCO,Adapthealth Corp,Time Not Supplied,0.06,-0.1,-266.67,2020-02-25
6,AHH,Armada Hoffler Properties Inc,TAS,0.11,0.09,-18.18,2020-02-06
4,AHIX,ALUF Holdings Inc,Time Not Supplied,,,,2020-03-19
21,AHT,Ashford Hospitality Trust Inc,TAS,-0.5,-0.39,22.0,2020-02-25
2,AI,Arlington Asset Investment Corp,Before Market Open,,,,2020-02-17
2,AIG,American International Group Inc,TAS,1.0,1.03,3.0,2020-02-13
48,AIHS,Senmiao Technology Ltd,Time Not Supplied,,,,2020-02-14
8,AIKI,Aikido Pharma Inc,After Market Close,,,,2020-02-03
17,AIMC,Altra Industrial Motion Corp,TAS,0.64,0.66,3.13,2020-02-13
27,AIMT,Aimmune Therapeutics Inc,TAS,-1.06,-1.06,,2020-02-27
29,AIMT,Aimmune Therapeutics Inc,After Market Close,-1.06,-1.06,,2020-02-27
9,AIN,Albany International Corp,TAS,0.8,0.97,21.25,2020-02-10
11,AINC,Ashford Inc,After Market Close,1.47,1.27,-13.61,2020-02-25
20,AINC,Ashford Inc,TAS,1.47,1.27,-13.61,2020-02-27
3,AINV,Apollo Investment Corp,TAS,0.46,0.54,17.39,2020-02-04
1,AIR,AAR Corp,TAS,0.64,0.67,4.69,2020-03-24
12,AIRG,Airgain Inc,TAS,0.04,0.07,75.0,2020-02-20
14,AIRG,Airgain Inc,After Market Close,0.04,0.07,75.0,2020-02-20
0,AIRI,Air Industries Group,After Market Close,0.01,-0.03,-400.0,2020-03-24
10,AIRTP,Air T Inc,Time Not Supplied,,,,2020-02-13
11,AIT,Applied Industrial Technologies Inc,TAS,0.95,0.97,2.11,2020-01-23
15,AIV,Apartment Investment and Management Co,TAS,0.18,0.9,400.0,2020-01-30
9,AIW,Arlington Asset Investment Corp,TAS,,,,2020-02-18
8,AIZ,Assurant Inc,Time Not Supplied,,,,2020-02-10
18,AIZP,Assurant Inc,TAS,,,,2020-02-11
17,AJG,Arthur J Gallagher & Co,TAS,0.52,0.58,11.54,2020-01-30
13,AJRD,Aerojet Rocketdyne Holdings Inc,TAS,0.46,0.3,-34.78,2020-02-19
7,AJX,Great Ajax Corp,TAS,0.38,0.31,-18.42,2020-03-03
7,AKAM,Akamai Technologies Inc,TAS,1.13,1.23,8.85,2020-02-11
0,AKBA,Akebia Therapeutics Inc,TAS,-0.47,-0.79,-68.09,2020-03-10
4,AKCA,Akcea Therapeutics Inc,TAS,1.11,0.86,-22.52,2020-02-25
8,AKCA,Akcea Therapeutics Inc,After Market Close,1.11,0.86,-22.52,2020-02-25
10,AKR,Acadia Realty Trust,TAS,0.08,0.24,200.0,2020-02-12
5,AKRO,Akero Therapeutics Inc,Before Market Open,-0.59,-0.55,6.78,2020-03-16
22,AKRX,Akorn Inc,After Market Close,-0.01,-0.07,-600.0,2020-02-26
13,AKS,AK Steel Holding Corp,TAS,-0.1,-0.11,-10.0,2020-02-20
6,AKTS,Akoustis Technologies Inc,After Market Close,-0.26,-0.3,-15.38,2020-01-31
2,AKTX,Akari Therapeutics PLC,Time Not Supplied,-0.14,-0.39,-178.57,2020-03-31
0,AL,Air Lease Corp,TAS,1.38,1.42,2.9,2020-02-14
11,ALB,Albemarle Corp,TAS,1.74,1.73,-0.57,2020-02-19
1,ALBO,Albireo Pharma Inc,Before Market Open,-1.59,-0.57,64.15,2020-03-02
12,ALCO,Alico Inc,TAS,,,,2020-02-06
7,ALDX,Aldeyra Therapeutics Inc,TAS,-0.72,-0.47,34.72,2020-03-12
8,ALDX,Aldeyra Therapeutics Inc,Before Market Open,-0.72,-0.47,34.72,2020-03-12
22,ALE,ALLETE Inc,TAS,0.92,0.96,4.35,2020-02-13
2,ALEC,Alector Inc,After Market Close,-0.36,-0.45,-25.0,2020-03-24
8,ALEX,Alexander & Baldwin Inc,TAS,0.1,0.07,-30.0,2020-02-26
35,ALG,Alamo Group Inc,After Market Close,1.49,1.32,-11.41,2020-02-27
21,ALGN,Align Technology Inc,TAS,1.4,1.53,9.29,2020-01-29
7,ALGT,Allegiant Travel Co,TAS,3.87,3.72,-3.88,2020-01-29
24,ALIM,Alimera Sciences Inc,TAS,-0.45,0.08,117.78,2020-02-26
0,ALJJ,ALJ Regional Holdings Inc,TAS,,,,2020-01-16
7,ALJJ,ALJ Regional Holdings Inc,After Market Close,,,,2020-02-14
4,ALK,Alaska Air Group Inc,TAS,1.41,1.46,3.55,2020-01-28
0,ALKS,Alkermes Plc,TAS,0.65,0.83,27.69,2020-02-13
13,ALL,Allstate Corp,TAS,3.24,3.13,-3.4,2020-02-04
4,ALLE,Allegion PLC,TAS,1.29,1.28,-0.78,2020-02-18
17,ALLK,Allakos Inc,After Market Close,-0.47,-0.51,-8.51,2020-02-25
28,ALLO,Allogene Therapeutics Inc,Before Market Open,-0.68,-0.58,14.71,2020-02-27
11,ALLT,Allot Ltd,Before Market Open,-0.06,-0.05,16.67,2020-02-04
1,ALLY,Ally Financial Inc,TAS,0.93,0.95,2.15,2020-01-22
11,ALNA,Allena Pharmaceuticals Inc,Before Market Open,-0.53,-0.47,11.32,2020-03-16
23,ALNY,Alnylam Pharmaceuticals Inc,TAS,-2.22,-2.47,-11.26,2020-02-06
16,ALOT,AstroNova Inc,Before Market Open,0.03,-0.19,-733.33,2020-03-12
11,ALPN,Alpine Immune Sciences Inc,TAS,-0.58,-0.33,43.1,2020-03-30
12,ALPN,Alpine Immune Sciences Inc,After Market Close,-0.58,-0.33,43.1,2020-03-30
14,ALRM,Alarm.com Holdings Inc,After Market Close,0.33,0.43,30.3,2020-02-25
7,ALRN,Aileron Therapeutics Inc,After Market Close,-0.27,-0.26,3.7,2020-03-30
11,ALRS,Alerus Financial Corp,After Market Close,0.39,0.43,10.26,2020-01-28
1,ALSK,Alaska Communications Systems Group Inc,TAS,,,,2020-03-10
7,ALSN,Allison Transmission Holdings Inc,TAS,0.73,0.9,23.29,2020-02-19
8,ALT,Altimmune Inc,TAS,-0.26,-0.25,3.85,2020-03-27
2,ALTG,Alta Equipment Group Inc,Time Not Supplied,,,,2020-03-25
17,ALTM,Altus Midstream Co,After Market Close,,,,2020-02-26
22,ALTR,Altair Engineering Inc,After Market Close,0.05,0.09,80.0,2020-02-27
7,ALV,Autoliv Inc,TAS,1.76,1.84,4.55,2020-01-28
10,ALX,Alexander's Inc,TAS,,,,2020-02-18
20,ALXN,Alexion Pharmaceuticals Inc,TAS,2.6,2.71,4.23,2020-01-30
20,AM,Antero Midstream Partners LP,After Market Close,0.22,-0.29,-231.82,2020-02-11
16,AM,Antero Midstream Corp,After Market Close,0.22,-0.29,-231.82,2020-02-12
3,AMAG,AMAG Pharmaceuticals Inc,TAS,-0.35,-0.35,,2020-03-04
8,AMAL,Amalgamated Bank,TAS,0.38,0.39,2.63,2020-01-30
1,AMAT,Applied Materials Inc,TAS,0.93,0.98,5.38,2020-02-12
0,AMBA,Ambarella Inc,TAS,0.11,0.14,27.27,2020-03-03
4,AMBC,Ambac Financial Group Inc,TAS,-0.46,-1.91,-315.22,2020-03-02
16,AMC,AMC Entertainment Holdings Inc,TAS,0.02,-0.13,-750.0,2020-02-27
5,AMCI,AMCI Acquisition Corp,After Market Close,,,,2020-03-27
8,AMCR,Amcor PLC,Time Not Supplied,0.15,0.16,6.67,2020-02-11
9,AMCR,Amcor PLC,TAS,0.15,0.16,6.67,2020-02-11
19,AMCX,AMC Networks Inc,TAS,1.76,1.69,-3.98,2020-02-26
12,AMD,Advanced Micro Devices Inc,TAS,0.31,0.32,3.23,2020-01-28
4,AME,Ametek Inc,TAS,1.03,1.08,4.85,2020-02-05
13,AMED,Amedisys Inc,TAS,0.93,0.94,1.08,2020-02-18
22,AMEH,Apollo Medical Holdings Inc,Before Market Open,0.2,0.18,-10.0,2020-03-12
3,AMEN,AMEN Properties Inc,Time Not Supplied,,,,2020-03-12
10,AMG,Affiliated Managers Group Inc,TAS,4.08,4.52,10.78,2020-02-03
18,AMGN,Amgen Inc,TAS,3.46,3.64,5.2,2020-01-30
1,AMH,American Homes 4 Rent,TAS,0.06,0.08,33.33,2020-02-27
11,AMK,AssetMark Financial Holdings Inc,TAS,0.26,0.27,3.85,2020-02-26
1,AMKR,Amkor Technology Inc,TAS,0.23,0.41,78.26,2020-02-10
1,AMN,AMN Healthcare Services Inc,TAS,0.73,0.85,16.44,2020-02-13
3,AMNB,American National Bankshares Inc,TAS,0.76,0.67,-11.84,2020-01-23
6,AMNF,Armanino Foods Of Distinction Inc,Time Not Supplied,,,,2020-02-14
13,AMOT,Allied Motion Technologies Inc,After Market Close,0.29,0.37,27.59,2020-03-11
2,AMP,Ameriprise Financial Inc,TAS,4.27,4.2,-1.64,2020-01-29
8,AMPE,Ampio Pharmaceuticals Inc,After Market Close,-0.03,-0.01,66.67,2020-02-20
1,AMPG,Amplitech Group Inc,Time Not Supplied,,,,2020-03-25
4,AMPH,Amphastar Pharmaceuticals Inc,After Market Close,0.07,0.07,,2020-03-12
15,AMPY,Amplify Energy Corp,After Market Close,0.15,-0.65,-533.33,2020-03-05
5,AMRB,American River Bankshares,Before Market Open,0.27,0.26,-3.7,2020-01-23
3,AMRC,Ameresco Inc,Before Market Open,0.39,0.46,17.95,2020-03-02
5,AMRC,Ameresco Inc,TAS,0.39,0.46,17.95,2020-03-02
20,AMRC,Ameresco Inc,TAS,0.39,0.46,17.95,2020-03-12
13,AMRK,A-Mark Precious Metals Inc,After Market Close,0.09,0.17,88.89,2020-02-06
0,AMRN,Amarin Corporation PLC,Before Market Open,-0.02,0.02,200.0,2020-01-07
7,AMRN,Amarin Corporation PLC,Before Market Open,-0.02,0.02,200.0,2020-02-24
6,AMRN,Amarin Corporation PLC,TAS,-0.02,0.02,200.0,2020-02-25
7,AMRN,Amarin Corporation PLC,Before Market Open,-0.02,0.02,200.0,2020-02-25
14,AMRS,Amyris Inc,TAS,-0.28,-0.65,-132.14,2020-03-12
6,AMRX,Amneal Pharmaceuticals Inc,Before Market Open,0.05,0.08,60.0,2020-02-26
7,AMSC,American Superconductor Corp,TAS,-0.28,-0.32,-14.29,2020-02-05
4,AMSF,Amerisafe Inc,TAS,0.81,1.7,109.88,2020-02-19
1,AMSWA,American Software Inc,After Market Close,0.05,0.1,100.0,2020-02-20
2,AMSWA,American Software Inc,TAS,0.05,0.1,100.0,2020-02-20
18,AMT,American Tower Corp,TAS,1.03,1.26,22.33,2020-02-25
21,AMTBB,Amerant Bancorp Inc,Time Not Supplied,,,,2020-01-30
3,AMTD,TD Ameritrade Holding Corp,TAS,0.77,0.74,-3.9,2020-01-21
9,AMTX,Aemetis Inc,Before Market Open,-0.33,-0.33,,2020-03-12
1,AMWD,American Woodmark Corp,TAS,1.46,1.3,-10.96,2020-02-25
3,AMZN,Amazon.com Inc,TAS,4.03,6.47,60.55,2020-01-30
5,AN,AutoNation Inc,TAS,1.14,1.32,15.79,2020-02-11
