,Symbol,Company,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%),Earnings Date
9,A,Agilent Technologies Inc,TAS,0.73,0.76,4.11,2019-02-20
0,AA,Alcoa Corp,TAS,0.5,0.66,32.0,2019-01-16
21,AABA,Altaba Inc,Before Market Open,,,,2019-02-27
3,AAL,American Airlines Group Inc,TAS,1.01,1.04,2.97,2019-01-24
9,AAMC,Altisource Asset Management Corp,TAS,,,,2019-02-27
1,AAME,Atlantic American Corp,Time Not Supplied,,,,2019-03-15
14,AAN,Aaron's Inc,TAS,1.03,1.02,-0.97,2019-02-14
10,AAOI,Applied Optoelectronics Inc,TAS,-0.04,-0.02,50.0,2019-02-21
6,AAON,Aaon Inc,TAS,0.28,0.24,-14.29,2019-02-28
5,AAP,Advance Auto Parts Inc,TAS,1.13,1.17,3.54,2019-02-19
11,AAPL,Apple Inc,TAS,4.17,4.18,0.24,2019-01-29
12,AAT,American Assets Trust Inc,TAS,-0.03,0.14,566.67,2019-02-12
13,AAWW,Atlas Air Worldwide Holdings Inc,TAS,2.94,3.12,6.12,2019-02-19
11,AAXN,Axon Enterprise Inc,TAS,0.11,0.08,-27.27,2019-02-26
10,AB,AllianceBernstein Holding LP,TAS,0.64,0.64,,2019-02-13
0,ABBV,AbbVie Inc,TAS,1.94,1.9,-2.06,2019-01-25
16,ABC,AmerisourceBergen Corp,TAS,1.5,1.6,6.67,2019-01-31
3,ABCB,Ameris Bancorp,TAS,0.92,0.96,4.35,2019-01-25
1,ABCP,AmBase Corp,Time Not Supplied,,,,2019-03-27
5,ABDC,Alcentra Capital Corp,TAS,0.22,0.27,22.73,2019-03-12
6,ABEO,Abeona Therapeutics Inc,TAS,-0.4,-0.42,-5.0,2019-03-19
3,ABG,Asbury Automotive Group Inc,TAS,2.05,2.2,7.32,2019-02-06
8,ABIO,ARCA Biopharma Inc,TAS,-2.52,-1.8,28.57,2019-02-27
9,ABM,ABM Industries Inc,TAS,0.26,0.31,19.23,2019-03-06
14,ABMD,Abiomed Inc,TAS,0.94,0.97,3.19,2019-01-31
2,ABR,Arbor Realty Trust Inc,TAS,0.28,0.47,67.86,2019-02-15
4,ABT,Abbott Laboratories,TAS,0.81,0.81,,2019-01-23
1,ABTO,AB&T Financial Corp,Time Not Supplied,,,,2019-01-25
5,ABTO,AB&T Financial Corp,Time Not Supplied,,,,2019-01-31
2,ABTX,Allegiance Bancshares Inc,TAS,0.01,0.59,5800.0,2019-01-25
5,ABUS,Arbutus Biopharma Corp,TAS,-0.4,,,2019-03-07
14,AC,Associated Capital Group Inc,Time Not Supplied,,,,2019-01-24
12,AC,Associated Capital Group Inc,Time Not Supplied,,,,2019-02-11
10,ACA,Arcosa Inc,TAS,0.28,0.4,42.86,2019-02-28
12,ACAD,ACADIA Pharmaceuticals Inc,TAS,-0.55,-0.5,9.09,2019-02-26
11,ACBI,Atlantic Capital Bancshares Inc,TAS,0.28,0.29,3.57,2019-01-31
3,ACC,American Campus Communities Inc,TAS,0.33,0.34,3.03,2019-02-19
9,ACCO,ACCO Brands Corp,TAS,0.43,0.41,-4.65,2019-02-13
20,ACER,Acer Therapeutics Inc,After Market Close,-0.46,-0.85,-84.78,2019-03-07
4,ACFN,Acorn Energy Inc,TAS,,,,2019-03-27
13,ACGL,Arch Capital Group Ltd,TAS,0.38,0.46,21.05,2019-02-12
6,ACGX,Alliance Creative Group Inc,Before Market Open,,,,2019-03-28
30,ACHC,Acadia Healthcare Company Inc,TAS,0.48,0.47,-2.08,2019-02-28
19,ACHN,Achillion Pharmaceuticals Inc,TAS,-0.15,-0.12,20.0,2019-03-07
9,ACHV,Achieve Life Sciences Inc,TAS,-0.64,-0.55,14.06,2019-03-14
17,ACIA,Acacia Communications Inc,TAS,0.35,0.41,17.14,2019-02-21
6,ACIU,AC Immune SA,TAS,0.35,-0.2,-157.14,2019-03-21
5,ACIW,ACI Worldwide Inc,TAS,0.75,0.74,-1.33,2019-02-28
0,ACLS,Axcelis Technologies Inc,TAS,0.2,0.25,25.0,2019-02-06
2,ACM,AECOM,TAS,0.52,0.56,7.69,2019-02-05
14,ACMR,ACM Research Inc,TAS,0.09,0.16,77.78,2019-03-07
0,ACN,Accenture PLC,TAS,1.57,1.73,10.19,2019-03-28
14,ACNB,ACNB Corp,Time Not Supplied,,,,2019-01-30
9,ACOR,Acorda Therapeutics Inc,TAS,-0.6,0.45,175.0,2019-02-14
19,ACRE,Ares Commercial Real Estate Corp,TAS,0.32,0.36,12.5,2019-02-21
11,ACRS,Aclaris Therapeutics Inc,TAS,-0.99,-0.99,,2019-03-18
12,ACRS,Aclaris Therapeutics Inc,Before Market Open,-0.99,-0.99,,2019-03-18
3,ACRX,AcelRx Pharmaceuticals Inc,TAS,-0.2,-0.18,10.0,2019-03-07
4,ACTG,Acacia Research Corp,TAS,-0.07,,,2019-03-13
7,ACU,Acme United Corp,TAS,0.18,0.17,-5.56,2019-02-28
21,ACY,AeroCentury Corp,Time Not Supplied,-0.01,-0.84,-8300.0,2019-03-07
6,ACY,AeroCentury Corp,Time Not Supplied,-0.01,-0.84,-8300.0,2019-03-18
13,ADAP,Adaptimmune Therapeutics PLC,TAS,-0.32,-0.36,-12.5,2019-02-27
15,ADAP,Adaptimmune Therapeutics PLC,Before Market Open,-0.32,-0.36,-12.5,2019-02-27
3,ADBE,Adobe Inc,TAS,1.62,1.71,5.56,2019-03-14
